BCLL,vloz,vloz na zaciatok,500,0
BCLL,vloz,vloz na index,400,1
BCLL,index,index prvku,100,2
BCLL,vloz,vloz na koniec,200,2
BCLL,zmaz,zmaz na konci,1400,3
BCLL,get/set,spristupni na indexe,100,2
BCLL,get/set,spristupni na indexe,100,2
BCLL,get/set,spristupni na indexe,100,2
BCLL,vloz,vloz na zaciatok,200,2
BCLL,get/set,spristupni na indexe,100,3
BCLL,zmaz,zmaz na konci,300,3
BCLL,get/set,nastav na indexe,100,2
BCLL,get/set,nastav na indexe,100,2
BCLL,index,index prvku,100,2
BCLL,get/set,nastav na indexe,100,2
BCLL,vloz,vloz na koniec,200,2
BCLL,get/set,spristupni na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,spristupni na indexe,100,3
BCLL,index,index prvku,100,3
BCLL,get/set,spristupni na indexe,200,3
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,spristupni na indexe,100,3
BCLL,zmaz,zmaz na konci,200,3
BCLL,get/set,spristupni na indexe,100,2
BCLL,vloz,vloz na koniec,200,2
BCLL,get/set,spristupni na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
BCLL,vloz,vloz na index,200,3
BCLL,vloz,vloz na index,900,4
BCLL,index,index prvku,100,5
BCLL,index,index prvku,100,5
BCLL,get/set,spristupni na indexe,100,5
BCLL,get/set,spristupni na indexe,100,5
BCLL,index,index prvku,100,5
BCLL,get/set,nastav na indexe,200,5
BCLL,get/set,nastav na indexe,200,5
BCLL,vloz,vloz na koniec,200,5
BCLL,zmaz,zmaz na konci,300,6
BCLL,index,index prvku,100,5
BCLL,get/set,nastav na indexe,100,5
BCLL,zmaz,zmaz na zaciatku,200,5
BCLL,vloz,vloz na koniec,200,4
BCLL,zmaz,zmaz na indexe,300,5
BCLL,get/set,spristupni na indexe,200,4
BCLL,get/set,spristupni na indexe,200,4
BCLL,get/set,spristupni na indexe,100,4
BCLL,index,index prvku,100,4
BCLL,vloz,vloz na koniec,100,4
BCLL,zmaz,zmaz na konci,200,5
BCLL,get/set,nastav na indexe,100,4
BCLL,get/set,nastav na indexe,100,4
BCLL,zmaz,zmaz na indexe,200,4
BCLL,zmaz,zmaz na indexe,200,3
BCLL,vloz,vloz na koniec,100,2
BCLL,vloz,vloz na index,200,3
BCLL,get/set,nastav na indexe,100,4
BCLL,zmaz,zmaz na konci,200,4
BCLL,get/set,nastav na indexe,200,3
BCLL,get/set,nastav na indexe,200,3
BCLL,get/set,spristupni na indexe,100,3
BCLL,vloz,vloz na zaciatok,100,3
BCLL,get/set,spristupni na indexe,100,4
BCLL,get/set,nastav na indexe,100,4
BCLL,zmaz,zmaz na zaciatku,200,4
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
BCLL,get/set,nastav na indexe,100,3
