0,6.44e-05,1
0,2.55e-05,2
1,3.01e-05,1
0,2.59e-05,2
0,2.47e-05,3
0,7.1e-06,4
0,2.22e-05,5
1,9.2e-06,4
3,9.5e-06,4
0,2.24e-05,5
0,9.2e-06,6
2,5.8e-06,6
0,2.27e-05,7
0,2.22e-05,8
1,1.06e-05,7
0,2.24e-05,8
0,3.64e-05,9
0,2.24e-05,10
2,7.2e-06,10
0,7e-06,11
2,7.1e-06,11
1,9.2e-06,10
1,2.23e-05,9
1,2.37e-05,8
1,9.3e-06,7
1,2.23e-05,6
2,7.2e-06,6
0,2.26e-05,7
3,1.81e-05,7
0,8.1e-06,8
1,9.3e-06,7
1,2.42e-05,6
1,9.3e-06,5
1,2.4e-05,4
0,8.4e-06,5
1,9.5e-06,4
1,2.44e-05,3
3,6.3e-06,3
0,2.39e-05,4
0,7.9e-06,5
1,9.8e-06,4
1,2.38e-05,3
1,9e-06,2
0,2.33e-05,3
1,1.18e-05,2
0,3.11e-05,3
3,9.3e-06,3
0,2.47e-05,4
1,9.7e-06,3
1,2.24e-05,2
1,8.9e-06,1
1,9e-06,0
0,7.1e-06,1
0,2.25e-05,2
1,1.04e-05,1
1,9.1e-06,0
0,3.9e-06,0
0,7.1e-06,1
2,4.8e-06,1
0,2.23e-05,2
2,7e-06,2
0,2.34e-05,3
1,9.2e-06,2
1,8.9e-06,1
1,9.1e-06,0
1,3.7e-06,0
0,7.1e-06,1
1,1.53e-05,0
1,3.8e-06,0
1,3.7e-06,0
0,4e-06,0
0,4e-06,0
0,7.1e-06,1
1,9e-06,0
0,6.9e-06,1
0,2.25e-05,2
0,7.1e-06,3
3,9.4e-06,3
0,7.1e-06,4
1,2.25e-05,3
1,1.05e-05,2
1,2.22e-05,1
1,9.1e-06,0
3,3.8e-06,0
0,5.5e-06,0
0,1.03e-05,1
1,1.25e-05,0
0,7.1e-06,1
0,2.26e-05,2
0,2.23e-05,3
1,2.23e-05,2
0,2.48e-05,3
0,7.2e-06,4
1,9e-06,3
1,9.1e-06,2
1,2.22e-05,1
0,2.23e-05,2
1,2.22e-05,1
0,7.2e-06,2
0,2.22e-05,3
1,9.2e-06,2
0,2.48e-05,3
0,2.28e-05,4
0,2.88e-05,5
2,7.2e-06,5
0,9.5e-06,6
1,2.25e-05,5
1,2.21e-05,4
1,2.21e-05,3
1,2.23e-05,2
1,9.1e-06,1
0,2.23e-05,2
0,9.2e-06,3
1,9.4e-06,2
0,2.61e-05,3
0,7.5e-06,4
0,7.1e-06,5
0,7.1e-06,6
1,9.1e-06,5
0,2.26e-05,6
0,2.24e-05,7
0,2.23e-05,8
1,2.34e-05,7
0,2.37e-05,8
1,2.33e-05,7
0,2.34e-05,8
0,2.35e-05,9
0,2.36e-05,10
1,2.33e-05,9
1,9.5e-06,8
1,2.57e-05,7
1,2.4e-05,6
1,2.83e-05,5
1,2.39e-05,4
0,7.5e-06,5
1,9.5e-06,4
0,7.6e-06,5
0,7.4e-06,6
1,9.4e-06,5
1,2.51e-05,4
1,2.35e-05,3
0,2.34e-05,4
1,2.32e-05,3
2,4.2e-06,3
1,9.5e-06,2
0,2.35e-05,3
1,3.64e-05,2
3,6.4e-06,2
1,2.92e-05,1
1,9.1e-06,0
3,3.8e-06,0
1,3.8e-06,0
0,3.9e-06,0
0,7.1e-06,1
0,7.1e-06,2
1,2.21e-05,1
0,2.23e-05,2
0,7.1e-06,3
0,1.11e-05,4
1,2.24e-05,3
0,2.39e-05,4
1,9.4e-06,3
0,2.24e-05,4
0,7e-06,5
0,2.25e-05,6
0,2.87e-05,7
1,2.22e-05,6
1,9.2e-06,5
2,3.9e-06,5
1,2.24e-05,4
1,1.36e-05,3
1,9e-06,2
0,2.28e-05,3
1,2.23e-05,2
0,9.8e-06,3
0,7.5e-06,4
1,2.28e-05,3
0,7.1e-06,4
0,7.1e-06,5
0,8.4e-06,6
0,2.26e-05,7
0,2.43e-05,8
0,2.23e-05,9
1,9.1e-06,8
2,7.1e-06,8
0,2.27e-05,9
0,2.29e-05,10
0,2.24e-05,11
1,9e-06,10
1,8.9e-06,9
1,9.2e-06,8
1,3.49e-05,7
0,3.32e-05,8
0,3.49e-05,9
1,2.29e-05,8
0,2.22e-05,9
1,2.22e-05,8
0,2.23e-05,9
0,2.24e-05,10
0,4.77e-05,11
1,2.37e-05,10
1,9.5e-06,9
1,9.5e-06,8
1,2.33e-05,7
1,9.4e-06,6
1,2.34e-05,5
0,2.33e-05,6
