1,1,55
1,2,37
1,3,57
1,4,75
1,5,92
1,6,112
1,7,132
1,8,150
1,9,236
1,10,201
1,11,204
1,12,350
2,1,37
2,2,80
2,3,110
2,4,147
2,5,190
2,6,222
2,7,261
2,8,302
2,9,332
2,10,373
2,11,412
2,12,442
3,1,55
3,2,114
3,3,167
3,4,224
3,5,288
3,6,368
3,7,393
3,8,445
3,9,499
3,10,564
3,11,621
3,12,666
4,1,74
4,2,147
4,3,226
4,4,414
4,5,424
4,6,449
4,7,542
4,8,595
4,9,676
4,10,754
4,11,827
4,12,935
5,1,150
5,2,185
5,3,278
5,4,370
5,5,506
5,6,568
5,7,654
5,8,760
5,9,842
5,10,950
5,11,1028
5,12,1122
6,1,114
6,2,223
6,3,371
6,4,463
6,5,563
6,6,679
6,7,790
6,8,910
6,9,1002
6,10,1111
6,11,1250
6,12,1377
7,1,131
7,2,263
7,3,395
7,4,528
7,5,660
7,6,778
7,7,919
7,8,1053
7,9,1189
7,10,1316
7,11,1441
7,12,1581
8,1,149
8,2,301
8,3,442
8,4,602
8,5,754
8,6,885
8,7,1042
8,8,1194
8,9,1367
8,10,1485
8,11,1626
8,12,1819
9,1,166
9,2,341
9,3,508
9,4,677
9,5,836
9,6,1016
9,7,1171
9,8,1340
9,9,1500
9,10,1665
9,11,1833
9,12,2010
10,1,185
10,2,377
10,3,561
10,4,781
10,5,925
10,6,1130
10,7,1319
10,8,1495
10,9,1689
10,10,1852
10,11,2059
10,12,2243
